image_id,review_id,restaurant_id,restaurant_name,image_url,image_description,width,height,bg_color,total_likes,photo_detail_url,crawl_timestamp
7885767,1883704,311705,"Highlands Coffee - Trà, Cà Phê & Bánh - Vincom Nguyễn Duy Trinh",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8y5vrm0yxl7d@resize_w800,,1440,1080,#655f50,0,/photo/detail/7885767,2026-06-07 02:59:37.773453+00:00
6762930,1559015,311705,"Highlands Coffee - Trà, Cà Phê & Bánh - Vincom Nguyễn Duy Trinh",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8y5vvhvaah2a@resize_w800,,1500,1500,#6d5850,0,/photo/detail/6762930,2026-06-07 02:59:37.773453+00:00
6762929,1559015,311705,"Highlands Coffee - Trà, Cà Phê & Bánh - Vincom Nguyễn Duy Trinh",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8y5vwvt90b69@resize_w800,,1500,1500,#6a564c,0,/photo/detail/6762929,2026-06-07 02:59:37.773453+00:00
6762928,1559015,311705,"Highlands Coffee - Trà, Cà Phê & Bánh - Vincom Nguyễn Duy Trinh",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8y5vkyc4bd8d@resize_w800,,1500,1500,#846a61,0,/photo/detail/6762928,2026-06-07 02:59:37.773453+00:00
6762927,1559015,311705,"Highlands Coffee - Trà, Cà Phê & Bánh - Vincom Nguyễn Duy Trinh",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8y5vyjqtaz4d@resize_w800,,1440,1920,#604c43,0,/photo/detail/6762927,2026-06-07 02:59:37.773453+00:00
6762926,1559015,311705,"Highlands Coffee - Trà, Cà Phê & Bánh - Vincom Nguyễn Duy Trinh",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8y5vxps15n2c@resize_w800,Trà thạch đào,1500,1500,#674a3b,0,/photo/detail/6762926,2026-06-07 02:59:37.773453+00:00
6762925,1559015,311705,"Highlands Coffee - Trà, Cà Phê & Bánh - Vincom Nguyễn Duy Trinh",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8y5vvruvh79b@resize_w800,,1500,1500,#745e55,0,/photo/detail/6762925,2026-06-07 02:59:37.773453+00:00
6762924,1559015,311705,"Highlands Coffee - Trà, Cà Phê & Bánh - Vincom Nguyễn Duy Trinh",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8y5vy9smop9d@resize_w800,Freeze socola,1500,1500,#5e4c42,0,/photo/detail/6762924,2026-06-07 02:59:37.773453+00:00
6762923,1559015,311705,"Highlands Coffee - Trà, Cà Phê & Bánh - Vincom Nguyễn Duy Trinh",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8y5vttz4d7bc@resize_w800,,1500,1500,#85645c,0,/photo/detail/6762923,2026-06-07 02:59:37.773453+00:00
6762922,1559015,311705,"Highlands Coffee - Trà, Cà Phê & Bánh - Vincom Nguyễn Duy Trinh",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8y5vrm56fvaa@resize_w800,,1500,1500,#928074,0,/photo/detail/6762922,2026-06-07 02:59:37.773453+00:00
6762921,1559015,311705,"Highlands Coffee - Trà, Cà Phê & Bánh - Vincom Nguyễn Duy Trinh",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8y5vvrwa1na0@resize_w800,,1500,1500,#80655e,0,/photo/detail/6762921,2026-06-07 02:59:37.773453+00:00
6733456,1550465,311705,"Highlands Coffee - Trà, Cà Phê & Bánh - Vincom Nguyễn Duy Trinh",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8y5vtjy4m1f8@resize_w800,,1161,2064,#76653b,0,/photo/detail/6733456,2026-06-07 02:59:37.773453+00:00
6733455,1550465,311705,"Highlands Coffee - Trà, Cà Phê & Bánh - Vincom Nguyễn Duy Trinh",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8y5vsg15gb28@resize_w800,,1161,2064,#6d6156,0,/photo/detail/6733455,2026-06-07 02:59:37.773453+00:00
6733454,1550465,311705,"Highlands Coffee - Trà, Cà Phê & Bánh - Vincom Nguyễn Duy Trinh",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8y5vng8gkb0f@resize_w800,,1500,843,#362c23,0,/photo/detail/6733454,2026-06-07 02:59:37.773453+00:00
6733453,1550465,311705,"Highlands Coffee - Trà, Cà Phê & Bánh - Vincom Nguyễn Duy Trinh",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8y5vo0agnt24@resize_w800,,1500,843,#4a3d38,0,/photo/detail/6733453,2026-06-07 02:59:37.773453+00:00
6733452,1550465,311705,"Highlands Coffee - Trà, Cà Phê & Bánh - Vincom Nguyễn Duy Trinh",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8y5vfoifh5e9@resize_w800,,1500,843,#766863,0,/photo/detail/6733452,2026-06-07 02:59:37.773453+00:00
6733451,1550465,311705,"Highlands Coffee - Trà, Cà Phê & Bánh - Vincom Nguyễn Duy Trinh",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8y5vn67gm399@resize_w800,,1500,843,#65564f,0,/photo/detail/6733451,2026-06-07 02:59:37.773453+00:00
6733450,1550465,311705,"Highlands Coffee - Trà, Cà Phê & Bánh - Vincom Nguyễn Duy Trinh",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8y5vs605i330@resize_w800,,1161,2064,#443b36,0,/photo/detail/6733450,2026-06-07 02:59:37.773453+00:00
6733449,1550465,311705,"Highlands Coffee - Trà, Cà Phê & Bánh - Vincom Nguyễn Duy Trinh",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8y5vrc2s4976@resize_w800,,1161,2064,#5e4f44,0,/photo/detail/6733449,2026-06-07 02:59:37.773453+00:00
6733448,1550465,311705,"Highlands Coffee - Trà, Cà Phê & Bánh - Vincom Nguyễn Duy Trinh",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8y5vok88ux16@resize_w800,,1500,843,#5e4d42,0,/photo/detail/6733448,2026-06-07 02:59:37.773453+00:00
